"Account Code","Account Name","Transaction Type","Transaction Amount","Department","Fund","College"
"40100","Tuition & Fees","credit",2500000,"Bursar","General Fund","University-Wide"
"45100","State Appropriations","credit",1500000,"Finance","General Fund","University-Wide"
"47200","Research Grants","credit",750000,"Physics","Restricted Fund","Arts & Sciences"
"50100","Instructional Salaries","debit",1800000,"Computer Science","General Fund","Engineering"
"50100","Instructional Salaries","debit",1200000,"History","General Fund","Arts & Sciences"
"62300","Facilities Maintenance","debit",650000,"Physical Plant","General Fund","University-Wide"
"65100","Library Acquisitions","debit",250000,"University Libraries","Designated Fund","University-Wide"
"53100","Student Financial Aid","debit",950000,"Financial Aid Office","General Fund","University-Wide"
"42100","Auxiliary Services Revenue","credit",1200000,"Bookstore","Auxiliary Fund","University-Wide"
"71000","IT Infrastructure","debit",450000,"Information Technology","Capital Projects","University-Wide"
